Serial,date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,AQI, pm25, pm10, o3, no2, so2, co,wd,Year,Month
1,2014/1/2,14,7,0,8.7,4,2,4,11,13,11,21,3,60,0,1019,14,10,141,14,352,188,92,39,54,17,13,3,2014,1
2,2014/1/3,16,9,0,8.7,4,10,3,11,12,11,21,26,55,0,1017,16,10,295,14,338,170,105,21,55,32,12,4,2014,1
3,2014/1/4,10,4,0,5.5,2,17,3,7,9,7,17,24,68,0.1,1022,10,10,169,14,355,191,94,18,36,19,9,5,2014,1
4,2014/1/5,10,3,0,8.7,3,24,3,9,9,9,9,12,66,0,1024,10,10,117,6,343,176,53,13,37,13,7,6,2014,1
5,2014/1/6,11,5,0,8.7,3,31,5,7,9,7,27,4,73,0,1024,11,10,120,19,287,116,36,28,28,10,7,0,2014,1
6,2014/1/7,12,9,0,5.5,3,39,8,8,10,8,23,68,88,0.2,1019,12,9,200,15,177,83,48,28,34,7,7,1,2014,1
7,2014/1/8,9,4,0,4,2,46,5,4,8,4,33,83,82,0,1024,9,10,294,23,300,120,39,27,22,10,6,2,2014,1
8,2014/1/9,5,2,0,8.7,2,53,-2,1,4,1,20,12,63,0,1033,5,10,158,16,253,106,52,26,16,10,5,3,2014,1
9,2014/1/10,7,1,0,8.7,2,61,0,4,6,4,15,18,63,0,1033,7,10,93,11,223,97,62,28,25,14,6,4,2014,1
10,2014/1/11,7,5,0,4,2,68,3,3,6,3,23,100,81,1.7,1031,7,6,81,15,300,120,51,25,23,9,6,5,2014,1
11,2014/1/12,9,4,0,5.5,2,75,2,3,6,3,21,64,78,3,1031,9,9,96,14,305,127,66,30,26,13,6,6,2014,1
12,2014/1/13,6,3,0,7.1,1,82,0,2,5,2,22,78,69,0,1032,6,10,26,16,325,152,46,26,18,13,5,0,2014,1
13,2014/1/14,7,2,0,7.1,2,90,0,2,5,2,18,19,67,0.1,1032,7,10,13,14,247,104,25,27,19,11,7,1,2014,1
14,2014/1/15,7,1,0,8.7,2,97,0,4,6,4,14,2,64,0,1034,7,10,161,11,153,76,34,29,19,9,3,2,2014,1
15,2014/1/16,10,2,0,8.7,3,100,3,6,7,6,13,16,73,0,1029,10,10,123,9,213,94,69,29,35,13,10,3,2014,1
16,2014/1/17,11,4,0,8.7,2,89,3,8,9,8,9,30,71,0,1027,11,10,208,6,328,156,79,15,46,20,13,4,2014,1
17,2014/1/18,8,3,0,8.7,3,81,1,4,7,4,20,3,69,0,1034,8,10,338,15,338,169,112,29,28,22,10,5,2014,1
18,2014/1/19,9,1,0,8.7,3,74,3,7,9,7,15,1,69,0,1030,9,10,148,11,367,207,89,34,35,19,10,6,2014,1
19,2014/1/20,11,3,0,8.7,2,67,-4,4,7,4,28,17,46,0,1028,11,10,271,19,345,179,149,17,40,33,14,0,2014,1
20,2014/1/21,6,0,0,8.7,2,59,-8,1,5,1,19,0,42,0,1032,6,10,257,16,382,226,73,26,20,17,5,1,2014,1
21,2014/1/22,5,-1,0,8.7,2,52,-6,5,6,5,8,0,42,0,1031,5,10,249,7,302,122,57,17,30,17,7,2,2014,1
22,2014/1/23,10,2,0,8.7,3,45,1,4,7,4,24,0,63,0,1024,10,10,155,18,309,132,41,29,24,9,4,3,2014,1
23,2014/1/24,15,5,0,8.7,3,38,4,8,10,8,35,24,66,0,1018,15,10,173,20,280,114,35,28,22,10,3,4,2014,1
24,2014/1/25,16,8,0,8.7,3,30,5,9,11,9,33,26,66,0.1,1020,16,10,207,22,217,95,79,34,26,13,7,5,2014,1
25,2014/1/26,9,5,0,5.6,2,23,0,4,7,4,24,59,61,0,1029,9,10,36,18,326,154,45,30,12,8,4,6,2014,1
26,2014/1/27,12,4,0,8.7,3,16,3,7,9,7,20,17,68,0,1024,12,10,145,14,197,89,26,29,21,6,3,0,2014,1
27,2014/1/28,14,6,0,8.7,4,9,5,8,10,8,19,20,72,0,1024,14,10,84,13,162,69,52,30,22,14,7,1,2014,1
28,2014/1/29,12,7,0,5.6,3,1,8,9,10,9,18,70,88,1.1,1020,12,10,180,13,305,127,57,26,24,7,5,2,2014,1
29,2014/1/30,17,8,0,8.7,4,0,10,13,14,13,13,16,81,0,1019,17,8,243,9,316,141,127,31,27,13,13,3,2014,1
30,2014/1/31,17,8,0,8.7,4,0,9,11,13,11,35,19,82,0,1019,17,10,143,21,385,230,107,47,12,9,8,4,2014,1
31,2014/2/1,24,13,0,8.7,5,6,12,17,18,17,30,18,73,0,1013,24,10,238,17,362,201,58,37,20,7,6,5,2014,2
32,2014/2/2,17,11,0,8.7,4,14,11,15,15,15,13,15,78,0,1012,17,10,147,9,315,140,132,30,21,6,16,6,2014,2
33,2014/2/3,10,4,0,4.1,2,21,4,4,8,4,32,83,78,0.1,1018,10,10,29,23,389,236,59,31,9,5,5,0,2014,2
34,2014/2/4,6,3,0,8.7,2,29,-4,0,4,0,26,31,55,0,1027,6,10,36,20,303,124,38,34,5,7,3,1,2014,2
35,2014/2/5,6,4,0,4.1,2,36,3,2,6,2,30,94,80,1.2,1023,6,9,88,20,150,75,21,30,9,6,5,2,2014,2
36,2014/2/6,9,8,0,4.1,2,44,8,6,9,6,28,100,94,5.7,1018,9,7,54,19,125,64,10,26,11,4,4,3,2014,2
37,2014/2/7,7,3,0,4.1,2,51,4,2,6,2,33,100,89,0.9,1018,7,8,145,23,138,55,16,28,12,6,5,4,2014,2
38,2014/2/8,6,1,0,5.6,1,59,-1,-1,3,-1,26,65,76,0,1022,6,10,336,19,150,61,41,29,12,8,6,5,2014,2
39,2014/2/9,3,0,0.3,4.1,1,66,-2,-3,2,-3,35,89,75,0.5,1026,3,8,219,25,301,121,49,30,11,8,5,6,2014,2
40,2014/2/10,3,-1,0.1,8.7,1,74,-5,-5,0,-5,34,55,66,0.2,1029,3,9,337,25,305,126,31,27,12,5,5,0,2014,2
41,2014/2/11,5,-2,0,7.2,1,81,-5,-4,1,-4,28,58,66,0,1027,5,10,333,21,217,95,37,28,15,9,4,1,2014,2
42,2014/2/12,6,1,0,4.1,1,89,1,0,4,0,30,95,79,0.9,1027,6,7,147,21,270,111,30,28,19,7,5,2,2014,2
43,2014/2/13,7,4,0,4.1,2,97,1,1,5,1,28,83,74,0.4,1029,7,9,139,20,207,92,29,30,11,6,4,3,2014,2
44,2014/2/14,8,2,0,7.2,2,100,-1,2,5,2,23,45,67,0,1028,8,10,218,17,180,84,50,34,17,8,5,4,2014,2
45,2014/2/15,9,0,0,8.7,3,88,0,4,6,4,14,23,65,0,1027,9,10,64,10,273,112,30,32,16,8,5,5,2014,2
46,2014/2/16,8,5,0,4.2,2,81,6,5,8,5,24,76,88,2.3,1023,8,10,107,16,180,84,23,27,21,3,3,6,2014,2
47,2014/2/17,9,6,0,4.2,2,73,7,5,8,5,30,90,93,0,1021,9,10,231,20,153,76,27,31,23,6,5,0,2014,2
48,2014/2/18,4,2,0,4.2,1,66,4,0,4,0,32,100,97,3.1,1024,4,9,182,20,217,95,24,33,13,3,4,1,2014,2
49,2014/2/19,6,1,0,4.2,1,58,1,-1,3,-1,27,76,83,0.7,1027,6,8,315,19,188,80,51,22,26,14,9,2,2014,2
50,2014/2/20,9,1,0,7.2,2,51,1,4,6,4,17,15,72,0,1031,9,10,226,13,311,134,96,33,36,28,11,3,2014,2
